判定,ワード,スコア,,,,,,,,
ふわっと,夢,0.9,,,,,,,,
ふわっと,自由,0.8,,,,,,,,
ふわっと,ワクワク,0.9,,,,,,,,
ふわっと,仲間,0.6,,,,,,,,
ふわっと,フレンドリー,0.6,,,,,,,,
ふわっと,面白い会社,0.8,,,,,,,,
ふわっと,ポテンシャル,0.7,,,,,,,,
ふわっと,自由な発想,0.8,,,,,,,,
ふわっと,未来,0.7,,,,,,,,
ふわっと,自由度高い,0.7,,,,,,,,
ふわっと,フラット,0.6,,,,,,,,
ふわっと,冒険,0.8,,,,,,,,
ふわっと,自由感,0.8,,,,,,,,
ふわっと,熱意ある,0.8,,,,,,,,
ふわっと,夢中,0.9,,,,,,,,
ふわっと,自由志向,0.8,,,,,,,,
ふわっと,挑戦精神,0.8,,,,,,,,
ふわっと,自由主義,0.7,,,,,,,,
ふわっと,面白い挑戦,0.8,,,,,,,,
ふわっと,夢追い人,0.9,,,,,,,,
ふわっと,自由発想力,0.8,,,,,,,,
ふわっと,やりがい重視,0.7,,,,,,,,
ふわっと,体験,0.7,,,,,,,,
ふわっと,自己表現,0.8,,,,,,,,
ふわっと,挑戦機会,0.8,,,,,,,,
ふわっと,仲間との連携,0.7,,,,,,,,
ふわっと,未来志向的,0.8,,,,,,,,
ふわっと,自由度高め,0.7,,,,,,,,
ふわっと,面白さ追求,0.6,,,,,,,,
ふわっと,挑戦意欲,0.8,,,,,,,,
ふわっと,自由環境,0.8,,,,,,,,
ふわっと,夢見る,0.9,,,,,,,,
ふわっと,柔軟思考力,0.7,,,,,,,,
ふわっと,自由に考える,0.8,,,,,,,,
ふわっと,好奇心旺盛,0.9,,,,,,,,
ふわっと,ワクワク挑戦,0.9,,,,,,,,
ふわっと,挑戦力,0.8,,,,,,,,
ふわっと,自由な挑戦,0.8,,,,,,,,
ふわっと,面白発想力,0.7,,,,,,,,
ふわっと,夢中になる,0.9,,,,,,,,
ふわっと,自由な生き方,0.8,,,,,,,,
ふわっと,挑戦精神豊か,0.8,,,,,,,,
ふわっと,仲間と協力,0.7,,,,,,,,
ふわっと,自由文化,0.8,,,,,,,,
ふわっと,柔軟な発想,0.7,,,,,,,,
ふわっと,夢追求,0.9,,,,,,,,
ふわっと,好奇心探索,0.9,,,,,,,,
ふわっと,挑戦冒険,0.8,,,,,,,,
ふわっと,自由行動,0.8,,,,,,,,
ふわっと,面白体験,0.7,,,,,,,,
ふわっと,自由創造,0.8,,,,,,,,
ふわっと,ワクワク発想,0.9,,,,,,,,
ふわっと,挑戦的思考,0.8,,,,,,,,
ふわっと,夢探求,0.9,,,,,,,,
ふわっと,柔軟な挑戦,0.7,,,,,,,,
ふわっと,自由探求,0.8,,,,,,,,
ふわっと,仲間との協働,0.7,,,,,,,,
ふわっと,自由な冒険,0.8,,,,,,,,
ふわっと,好奇心豊か,0.9,,,,,,,,
ふわっと,面白挑戦,0.8,,,,,,,,
ふわっと,夢感覚,0.9,,,,,,,,
ふわっと,自由感覚,0.8,,,,,,,,
ふわっと,挑戦感覚,0.8,,,,,,,,
ふわっと,ワクワク自由,0.9,,,,,,,,
ふわっと,柔軟感覚,0.7,,,,,,,,
ふわっと,自由志向的,0.8,,,,,,,,
ふわっと,夢心地,0.9,,,,,,,,
ふわっと,仲間感覚,0.7,,,,,,,,
ふわっと,挑戦文化,0.8,,,,,,,,
ふわっと,面白さ文化,0.6,,,,,,,,
ふわっと,自由気持ち,0.8,,,,,,,,
ふわっと,ワクワク精神,0.9,,,,,,,,
ふわっと,夢冒険,0.9,,,,,,,,
ふわっと,柔軟文化,0.7,,,,,,,,
ふわっと,挑戦冒険心,0.8,,,,,,,,
ふわっと,自由精神,0.8,,,,,,,,
